day,lot,time,spots
Tuesday,E,8:00-10:00,35
Tuesday,F,8:00-10:00,100
Tuesday,F1,8:00-10:00,26
Tuesday,F2,8:00-10:00,35
Tuesday,F3,8:00-10:00,115
Tuesday,G1,8:00-10:00,210
Tuesday,H,8:00-10:00,151
Tuesday,M1,8:00-10:00,445
Tuesday,M2,8:00-10:00,139
Tuesday,"M3,4",8:00-10:00,365
Tuesday,Y1,8:00-10:00,26
Tuesday,ZZN,8:00-10:00,62
Tuesday,ZZS,8:00-10:00,79
Tuesday,Total,8:00-10:00,1788
Tuesday,E,10:00-12:00,10
Tuesday,F,10:00-12:00,28
Tuesday,F1,10:00-12:00,1
Tuesday,F2,10:00-12:00,5
Tuesday,F3,10:00-12:00,34
Tuesday,G1,10:00-12:00,126
Tuesday,H,10:00-12:00,81
Tuesday,M1,10:00-12:00,178
Tuesday,M2,10:00-12:00,39
Tuesday,"M3,4",10:00-12:00,161
Tuesday,Y1,10:00-12:00,13
Tuesday,ZZN,10:00-12:00,58
Tuesday,ZZS,10:00-12:00,77
Tuesday,Total,10:00-12:00,811
Tuesday,E,12:00-2:00,11
Tuesday,F,12:00-2:00,22
Tuesday,F1,12:00-2:00,1
Tuesday,F2,12:00-2:00,3
Tuesday,F3,12:00-2:00,2
Tuesday,G1,12:00-2:00,126
Tuesday,H,12:00-2:00,43
Tuesday,M1,12:00-2:00,29
Tuesday,M2,12:00-2:00,3
Tuesday,"M3,4",12:00-2:00,56
Tuesday,Y1,12:00-2:00,3
Tuesday,ZZN,12:00-2:00,54
Tuesday,ZZS,12:00-2:00,68
Tuesday,Total,12:00-2:00,421
Tuesday,E,2:00-4:00,39
Tuesday,F,2:00-4:00,26
Tuesday,F1,2:00-4:00,7
Tuesday,F2,2:00-4:00,6
Tuesday,F3,2:00-4:00,20
Tuesday,G1,2:00-4:00,132
Tuesday,H,2:00-4:00,67
Tuesday,M1,2:00-4:00,44
Tuesday,M2,2:00-4:00,15
Tuesday,"M3,4",2:00-4:00,56
Tuesday,Y1,2:00-4:00,12
Tuesday,ZZN,2:00-4:00,63
Tuesday,ZZS,2:00-4:00,83
Tuesday,Total,2:00-4:00,570
Tuesday,E,4:00-6:00,61
Tuesday,F,4:00-6:00,74
Tuesday,F1,4:00-6:00,49
Tuesday,F2,4:00-6:00,33
Tuesday,F3,4:00-6:00,48
Tuesday,G1,4:00-6:00,158
Tuesday,H,4:00-6:00,81
Tuesday,M1,4:00-6:00,69
Tuesday,M2,4:00-6:00,25
Tuesday,"M3,4",4:00-6:00,98
Tuesday,Y1,4:00-6:00,20
Tuesday,ZZN,4:00-6:00,71
Tuesday,ZZS,4:00-6:00,101
Tuesday,Total,4:00-6:00,888
Tuesday,E,6:00-8:00,150
Tuesday,F,6:00-8:00,107
Tuesday,F1,6:00-8:00,113
Tuesday,F2,6:00-8:00,66
Tuesday,F3,6:00-8:00,78
Tuesday,G1,6:00-8:00,182
Tuesday,H,6:00-8:00,129
Tuesday,M1,6:00-8:00,293
Tuesday,M2,6:00-8:00,121
Tuesday,"M3,4",6:00-8:00,242
Tuesday,Y1,6:00-8:00,18
Tuesday,ZZN,6:00-8:00,77
Tuesday,ZZS,6:00-8:00,102
Tuesday,Total,6:00-8:00,1678
Thursday,E,8:00-10:00,70
Thursday,F,8:00-10:00,136
Thursday,F1,8:00-10:00,34
Thursday,F2,8:00-10:00,53
Thursday,F3,8:00-10:00,131
Thursday,G1,8:00-10:00,195
Thursday,H,8:00-10:00,167
Thursday,M1,8:00-10:00,482
Thursday,M2,8:00-10:00,151
Thursday,"M3,4",8:00-10:00,431
Thursday,Y1,8:00-10:00,25
Thursday,ZZN,8:00-10:00,61
Thursday,ZZS,8:00-10:00,80
Thursday,Total,8:00-10:00,2016
Thursday,E,10:00-12:00,49
Thursday,F,10:00-12:00,22
Thursday,F1,10:00-12:00,4
Thursday,F2,10:00-12:00,4
Thursday,F3,10:00-12:00,9
Thursday,G1,10:00-12:00,130
Thursday,H,10:00-12:00,46
Thursday,M1,10:00-12:00,226
Thursday,M2,10:00-12:00,36
Thursday,"M3,4",10:00-12:00,127
Thursday,Y1,10:00-12:00,13
Thursday,ZZN,10:00-12:00,56
Thursday,ZZS,10:00-12:00,77
Thursday,Total,10:00-12:00,799
Thursday,E,12:00-2:00,13
Thursday,F,12:00-2:00,11
Thursday,F1,12:00-2:00,1
Thursday,F2,12:00-2:00,2
Thursday,F3,12:00-2:00,9
Thursday,G1,12:00-2:00,80
Thursday,H,12:00-2:00,16
Thursday,M1,12:00-2:00,46
Thursday,M2,12:00-2:00,7
Thursday,"M3,4",12:00-2:00,62
Thursday,Y1,12:00-2:00,4
Thursday,ZZN,12:00-2:00,53
Thursday,ZZS,12:00-2:00,63
Thursday,Total,12:00-2:00,367
Thursday,E,2:00-4:00,14
Thursday,F,2:00-4:00,9
Thursday,F1,2:00-4:00,7
Thursday,F2,2:00-4:00,4
Thursday,F3,2:00-4:00,5
Thursday,G1,2:00-4:00,93
Thursday,H,2:00-4:00,19
Thursday,M1,2:00-4:00,72
Thursday,M2,2:00-4:00,13
Thursday,"M3,4",2:00-4:00,67
Thursday,Y1,2:00-4:00,12
Thursday,ZZN,2:00-4:00,55
Thursday,ZZS,2:00-4:00,91
Thursday,Total,2:00-4:00,461
Thursday,E,4:00-6:00,72
Thursday,F,4:00-6:00,25
Thursday,F1,4:00-6:00,50
Thursday,F2,4:00-6:00,45
Thursday,F3,4:00-6:00,28
Thursday,G1,4:00-6:00,88
Thursday,H,4:00-6:00,59
Thursday,M1,4:00-6:00,203
Thursday,M2,4:00-6:00,86
Thursday,"M3,4",4:00-6:00,241
Thursday,Y1,4:00-6:00,16
Thursday,ZZN,4:00-6:00,61
Thursday,ZZS,4:00-6:00,105
Thursday,Total,4:00-6:00,1079
Thursday,E,6:00-8:00,113
Thursday,F,6:00-8:00,63
Thursday,F1,6:00-8:00,81
Thursday,F2,6:00-8:00,64
Thursday,F3,6:00-8:00,73
Thursday,G1,6:00-8:00,110
Thursday,H,6:00-8:00,96
Thursday,M1,6:00-8:00,328
Thursday,M2,6:00-8:00,157
Thursday,"M3,4",6:00-8:00,348
Thursday,Y1,6:00-8:00,21
Thursday,ZZN,6:00-8:00,62
Thursday,ZZS,6:00-8:00,99
Thursday,Total,6:00-8:00,1615
